Python version,scikit-learn version,region,arn
3.6,0.22.0,us-east-1,arn:aws:lambda:us-east-1:446751924810:layer:python-3-6-scikit-learn-0-22-0:4
3.6,0.22.0,us-east-2,arn:aws:lambda:us-east-2:446751924810:layer:python-3-6-scikit-learn-0-22-0:4
3.6,0.22.0,us-west-1,arn:aws:lambda:us-west-1:446751924810:layer:python-3-6-scikit-learn-0-22-0:4
3.6,0.22.0,us-west-2,arn:aws:lambda:us-west-2:446751924810:layer:python-3-6-scikit-learn-0-22-0:5
3.7,0.22.0,us-east-1,arn:aws:lambda:us-east-1:446751924810:layer:python-3-7-scikit-learn-0-22-0:3
3.7,0.22.0,us-east-2,arn:aws:lambda:us-east-2:446751924810:layer:python-3-7-scikit-learn-0-22-0:3
3.7,0.22.0,us-west-1,arn:aws:lambda:us-west-1:446751924810:layer:python-3-7-scikit-learn-0-22-0:3
3.7,0.22.0,us-west-2,arn:aws:lambda:us-west-2:446751924810:layer:python-3-7-scikit-learn-0-22-0:5
3.8,0.22.0,us-east-1,arn:aws:lambda:us-east-1:446751924810:layer:python-3-8-scikit-learn-0-22-0:3
3.8,0.22.0,us-east-2,arn:aws:lambda:us-east-2:446751924810:layer:python-3-8-scikit-learn-0-22-0:3
3.8,0.22.0,us-west-1,arn:aws:lambda:us-west-1:446751924810:layer:python-3-8-scikit-learn-0-22-0:3
3.8,0.22.0,us-west-2,arn:aws:lambda:us-west-2:446751924810:layer:python-3-8-scikit-learn-0-22-0:5
3.6,0.22.1,us-east-1,arn:aws:lambda:us-east-1:446751924810:layer:python-3-6-scikit-learn-0-22-1:3
3.6,0.22.1,us-east-2,arn:aws:lambda:us-east-2:446751924810:layer:python-3-6-scikit-learn-0-22-1:3
3.6,0.22.1,us-west-1,arn:aws:lambda:us-west-1:446751924810:layer:python-3-6-scikit-learn-0-22-1:3
3.6,0.22.1,us-west-2,arn:aws:lambda:us-west-2:446751924810:layer:python-3-6-scikit-learn-0-22-1:4
3.7,0.22.1,us-east-1,arn:aws:lambda:us-east-1:446751924810:layer:python-3-7-scikit-learn-0-22-1:3
3.7,0.22.1,us-east-2,arn:aws:lambda:us-east-2:446751924810:layer:python-3-7-scikit-learn-0-22-1:3
3.7,0.22.1,us-west-1,arn:aws:lambda:us-west-1:446751924810:layer:python-3-7-scikit-learn-0-22-1:3
3.7,0.22.1,us-west-2,arn:aws:lambda:us-west-2:446751924810:layer:python-3-7-scikit-learn-0-22-1:5
3.8,0.22.1,us-east-1,arn:aws:lambda:us-east-1:446751924810:layer:python-3-8-scikit-learn-0-22-1:2
3.8,0.22.1,us-east-2,arn:aws:lambda:us-east-2:446751924810:layer:python-3-8-scikit-learn-0-22-1:2
3.8,0.22.1,us-west-1,arn:aws:lambda:us-west-1:446751924810:layer:python-3-8-scikit-learn-0-22-1:2
3.8,0.22.1,us-west-2,arn:aws:lambda:us-west-2:446751924810:layer:python-3-8-scikit-learn-0-22-1:4
3.6,0.22.2.post1,us-east-1,arn:aws:lambda:us-east-1:446751924810:layer:python-3-6-scikit-learn-0-22-2-post1:2
3.6,0.22.2.post1,us-east-2,arn:aws:lambda:us-east-2:446751924810:layer:python-3-6-scikit-learn-0-22-2-post1:2
3.6,0.22.2.post1,us-west-1,arn:aws:lambda:us-west-1:446751924810:layer:python-3-6-scikit-learn-0-22-2-post1:2
3.6,0.22.2.post1,us-west-2,arn:aws:lambda:us-west-2:446751924810:layer:python-3-6-scikit-learn-0-22-2-post1:3
3.7,0.22.2.post1,us-east-1,arn:aws:lambda:us-east-1:446751924810:layer:python-3-7-scikit-learn-0-22-2-post1:2
3.7,0.22.2.post1,us-east-2,arn:aws:lambda:us-east-2:446751924810:layer:python-3-7-scikit-learn-0-22-2-post1:2
3.7,0.22.2.post1,us-west-1,arn:aws:lambda:us-west-1:446751924810:layer:python-3-7-scikit-learn-0-22-2-post1:2
3.7,0.22.2.post1,us-west-2,arn:aws:lambda:us-west-2:446751924810:layer:python-3-7-scikit-learn-0-22-2-post1:4
3.8,0.22.2.post1,us-east-1,arn:aws:lambda:us-east-1:446751924810:layer:python-3-8-scikit-learn-0-22-2-post1:2
